age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
24,178,68,Portugal,76,82,74,69,60,69,67,79,78,74,55,78,83,86,81,76,80,69,67,13,15,7,6,9,12000.0
23,187,77,Belgium,76,81,67,74,56,73,66,82,69,65,61,79,82,85,76,76,70,29,24,9,7,14,11,12,35000.0
23,185,77,England,76,85,53,22,69,76,21,65,26,20,67,73,69,69,59,75,55,77,78,8,11,12,5,6,52000.0
24,191,93,Brazil,76,80,58,74,76,72,74,71,57,49,68,77,54,76,53,73,45,37,15,12,13,14,8,6,54000.0
26,169,71,Spain,76,76,73,76,35,74,65,75,73,74,72,77,88,84,86,72,81,41,37,11,8,10,13,15,20000.0
23,172,70,Japan,76,82,70,68,45,75,59,80,67,67,68,79,78,79,86,74,92,36,42,8,5,6,13,14,15000.0
23,175,80,Mexico,76,79,70,35,63,65,33,70,54,36,54,72,90,93,77,69,79,73,72,10,10,12,12,7,33000.0
24,183,73,Italy,76,82,77,65,52,76,73,82,80,70,67,83,81,80,83,74,76,26,24,11,11,14,6,12,27000.0
24,173,70,Senegal,76,79,66,75,65,69,72,83,69,65,61,76,93,91,82,68,72,52,35,6,7,14,8,9,22000.0
21,184,80,Norway,76,83,69,69,49,68,56,78,66,54,63,78,89,88,81,70,76,43,37,9,7,14,9,8,26000.0
25,179,71,Colombia,76,79,64,68,35,69,50,81,57,46,56,73,93,94,89,73,75,25,26,9,10,6,8,13,16000.0
23,178,82,Belgium,76,81,61,43,52,78,50,84,65,50,73,83,76,65,80,80,85,72,73,7,6,7,7,10,23000.0
24,183,76,Hungary,76,79,72,73,49,75,67,81,49,45,62,80,76,69,75,74,74,37,38,7,5,11,14,9,23000.0
22,184,75,Portugal,76,82,78,52,69,74,44,78,74,44,62,75,78,80,79,74,72,74,70,10,6,10,6,8,68000.0
23,175,70,Croatia,76,80,74,74,45,74,62,84,77,70,62,80,84,69,87,73,83,39,29,9,7,5,6,14,44000.0
24,187,84,Spain,76,83,46,78,73,69,75,73,56,31,53,75,70,73,67,76,56,14,23,11,11,12,7,9,13000.0
24,175,70,Argentina,76,83,69,71,69,75,59,77,83,75,73,80,87,84,91,71,78,75,76,7,15,11,14,14,11000.0
24,185,74,Netherlands,76,81,56,52,63,76,52,75,56,33,75,75,65,64,66,75,70,75,69,11,7,6,5,14,24000.0
25,184,74,Mexico,76,82,10,9,11,25,6,11,14,13,20,19,41,41,54,72,54,11,12,77,72,69,75,80,15000.0
25,175,70,Mali,76,79,57,42,60,74,37,68,55,34,70,72,70,62,79,75,80,75,73,5,11,11,14,8,28000.0
22,168,65,England,76,84,67,65,37,72,66,84,72,60,59,81,88,82,92,77,92,32,24,7,12,15,15,6,11000.0
23,183,70,Spain,76,79,78,60,62,72,58,77,72,30,70,75,78,76,70,72,74,74,73,12,12,5,9,13,27000.0
24,187,76,Spain,76,82,74,75,52,77,65,76,74,75,73,77,70,71,69,74,42,49,44,10,5,10,12,8,20000.0
29,178,73,Serbia,76,76,64,68,64,79,52,73,60,59,78,78,62,49,58,77,64,75,72,6,14,9,9,9,28000.0
26,175,74,Peru,76,80,53,62,60,74,22,60,49,58,72,74,77,76,77,73,74,72,67,13,7,5,8,15,39000.0
24,178,74,Netherlands,76,80,72,74,44,71,55,80,76,57,64,78,85,81,80,72,74,52,47,15,8,10,8,14,28000.0
23,167,63,Spain,76,81,74,65,45,77,63,78,77,40,75,78,79,78,84,70,86,47,40,9,7,13,15,8,17000.0
22,172,66,Netherlands,76,83,71,69,52,68,67,83,72,58,54,79,90,89,87,71,84,32,27,5,6,14,7,12,39000.0
22,176,70,Mexico,76,83,74,68,51,75,62,75,76,65,72,78,81,72,90,70,77,49,60,8,14,13,13,14,48000.0
30,177,63,Brazil,76,76,72,73,60,72,64,76,80,69,61,79,77,76,83,79,76,40,41,9,7,8,9,8,16000.0
23,174,66,Albania,76,82,60,60,55,75,50,74,70,55,73,74,76,75,75,75,81,74,70,13,12,11,11,13,15000.0
25,180,73,Colombia,76,80,66,46,68,76,40,70,35,34,71,70,74,82,78,72,64,78,74,7,14,12,7,6,15000.0
33,184,78,Romania,76,76,14,8,13,23,5,18,10,13,22,11,25,31,28,64,64,13,14,76,75,70,77,77,850.0
23,195,90,Serbia,76,83,66,38,70,68,35,60,34,22,66,68,68,65,50,74,40,78,77,8,7,13,7,14,36000.0
22,175,69,Senegal,76,83,67,68,62,69,68,79,62,42,65,74,92,94,91,70,78,32,50,10,8,11,11,12,38000.0
24,188,82,Brazil,76,82,34,35,76,66,33,60,28,20,64,63,67,61,61,71,63,80,74,13,15,13,5,6,31000.0
21,186,86,Turkey,76,85,26,35,76,73,28,67,32,31,69,72,63,73,64,71,64,76,75,10,13,10,6,5,9000.0
20,183,67,Netherlands,76,85,52,78,61,68,72,75,62,44,54,75,91,88,85,80,76,22,18,9,15,14,6,11,36000.0
20,182,64,England,76,86,70,63,36,79,55,79,67,58,67,80,79,78,75,72,74,30,31,11,8,14,8,10,49000.0
23,180,73,Spain,76,82,60,70,54,82,44,69,61,59,80,75,54,52,69,77,69,81,70,14,12,11,14,14,26000.0
23,184,78,Uruguay,76,84,72,49,71,68,38,70,67,41,60,73,74,77,67,78,48,76,75,14,14,12,13,15,21000.0
25,175,66,Algeria,76,80,74,70,61,72,68,81,74,54,68,76,89,91,81,73,81,72,71,11,12,8,9,7,26000.0
21,185,79,Spain,76,84,77,49,71,75,35,76,60,59,61,76,78,78,74,72,63,75,74,11,8,12,9,6,15000.0
20,185,73,Netherlands,76,84,72,59,83,72,31,71,36,30,69,74,79,80,69,68,69,78,75,12,11,13,12,10,8000.0
22,170,62,France,76,80,72,43,54,77,39,76,63,41,68,78,82,82,83,69,86,73,74,7,6,9,11,11,49000.0
22,187,79,France,76,83,53,37,63,76,45,70,46,35,72,74,72,73,61,76,53,76,72,12,12,12,14,12,27000.0
23,170,68,Uruguay,76,84,67,77,44,72,71,75,72,34,57,77,83,82,83,73,84,18,28,11,14,15,14,13,9000.0
24,174,66,Mexico,76,82,65,70,48,74,62,80,65,69,70,78,81,85,83,75,84,51,36,7,8,14,8,8,37000.0
27,188,82,Spain,76,77,41,80,72,73,79,75,72,53,41,76,72,71,70,78,55,19,23,7,13,13,15,6,25000.0
22,183,70,Gambia,76,83,65,76,63,73,60,80,60,56,58,78,83,85,78,77,57,20,16,8,6,14,14,12,37000.0
24,178,66,Canada,76,82,72,55,55,77,55,70,74,65,75,75,68,65,71,76,72,76,73,6,5,13,7,11,9000.0
20,194,75,France,76,84,36,21,78,77,31,57,44,34,76,66,55,67,34,74,37,78,72,8,7,5,15,8,29000.0
22,191,83,Belgium,76,82,57,44,80,65,26,64,41,42,71,67,69,74,61,74,55,76,80,6,7,7,11,15,40000.0
22,180,72,Belgium,76,81,80,68,45,77,65,78,71,68,69,78,81,81,87,75,73,65,61,9,6,9,12,12,34000.0
21,169,56,Spain,76,85,60,63,49,82,56,81,66,51,79,83,69,65,82,72,85,65,53,12,15,14,12,9,75000.0
28,179,76,Czech Republic,76,76,74,70,61,72,64,77,62,59,66,77,89,87,83,75,78,65,62,7,7,6,10,10,1000.0
23,179,75,Croatia,76,84,81,67,49,77,67,85,86,77,77,85,78,62,86,70,70,59,28,9,12,12,5,6,36000.0
22,190,82,Portugal,76,83,10,5,8,44,8,16,9,9,38,21,55,55,58,76,33,15,13,77,74,65,74,78,14000.0
28,175,68,Ukraine,76,76,64,69,38,77,52,80,64,65,73,73,70,79,86,80,88,75,73,14,11,10,11,5,1000.0
22,177,67,Ukraine,76,84,70,70,41,77,58,78,72,74,75,80,80,75,82,72,71,67,66,13,6,12,14,13,900.0
22,180,71,Ukraine,76,83,76,44,66,72,27,54,32,32,55,66,77,78,69,73,67,73,76,9,8,14,9,14,850.0
23,181,73,Spain,76,83,64,54,49,84,49,75,64,66,75,85,51,66,76,74,81,74,68,12,11,13,8,6,39000.0
25,188,76,Morocco,76,80,43,38,79,73,31,56,43,41,67,68,57,62,59,74,56,78,74,7,15,9,14,6,36000.0
21,183,77,Portugal,76,85,68,69,66,70,66,83,84,56,66,81,80,78,84,79,65,34,32,5,9,6,15,7,84000.0
22,191,85,Ghana,76,84,40,30,74,72,22,47,50,32,56,64,62,71,54,68,49,78,75,7,7,11,10,6,38000.0
24,174,65,Portugal,76,83,73,74,46,79,54,75,67,55,78,76,72,63,77,73,79,73,65,12,9,12,12,5,12000.0
21,190,88,France,76,84,46,40,74,75,35,62,47,41,67,71,68,83,52,70,55,80,73,7,13,11,8,13,20000.0
18,188,86,Czech Republic,76,87,69,75,71,72,73,77,68,64,67,77,79,77,69,76,78,32,23,11,10,9,11,10,500.0
27,184,76,Greece,76,76,75,77,74,75,69,72,75,56,71,78,82,84,76,72,68,41,42,6,7,10,15,15,1000.0
20,175,65,Spain,76,86,77,73,34,74,62,82,68,72,69,78,79,77,89,76,81,29,22,13,10,14,6,6,52000.0
21,170,67,Israel,76,86,73,72,38,72,46,81,75,72,68,74,82,80,84,64,82,47,35,12,11,9,13,10,800.0
21,175,73,Brazil,76,86,73,74,42,76,55,82,54,70,68,79,82,84,78,68,71,38,27,7,11,5,9,11,800.0
25,183,77,Czech Republic,76,80,68,59,69,76,59,74,69,69,76,74,72,72,74,76,78,72,72,5,5,14,6,11,1000.0
24,182,74,Nigeria,76,83,69,29,59,66,32,63,47,29,60,65,92,93,74,73,69,73,71,13,9,7,9,9,11000.0
20,179,75,Brazil,76,88,72,74,72,70,61,78,70,49,50,77,88,86,83,74,79,40,43,10,6,7,6,6,49000.0
20,175,62,United States,76,85,73,58,58,77,44,83,72,38,67,77,89,86,88,76,76,70,69,11,10,10,15,15,67000.0
18,178,66,Spain,76,90,69,80,58,72,59,79,64,45,69,76,90,87,89,74,81,32,28,6,9,8,10,7,44000.0
22,187,80,Uruguay,76,85,67,75,73,74,67,72,64,61,52,75,85,83,77,78,54,37,30,14,10,12,10,13,13000.0
22,183,74,Brazil,76,85,59,71,46,76,57,78,69,58,74,79,73,73,69,80,70,69,62,13,10,12,12,13,12000.0
23,181,70,Uruguay,76,82,78,65,56,74,55,74,68,63,67,75,83,82,79,71,77,71,71,6,10,15,9,11,35000.0
19,186,77,Portugal,76,86,30,23,71,74,34,49,29,27,76,69,78,80,59,76,54,79,78,6,6,7,10,7,7000.0
37,183,75,Chile,75,75,75,70,51,78,74,74,81,75,70,80,73,75,72,70,63,35,30,11,12,6,12,15,4000.0
40,174,69,Argentina,75,75,79,69,45,80,68,77,82,80,77,80,45,39,51,73,82,29,25,6,11,12,15,6,900.0
38,174,74,Argentina,75,75,59,77,77,75,75,72,81,68,69,77,64,63,69,74,69,57,37,8,10,11,13,6,15000.0
37,190,92,Ukraine,75,75,13,9,10,29,12,11,14,16,24,12,44,44,56,71,32,9,10,72,69,78,83,73,500.0
28,191,84,Spain,75,75,56,60,70,78,40,68,60,28,77,76,39,51,44,79,36,81,72,12,11,16,6,13,25000.0
36,181,79,Italy,75,75,61,45,61,74,60,56,62,61,71,73,57,53,59,74,64,77,75,8,12,7,11,5,19000.0
34,177,76,England,75,75,71,60,62,78,68,74,71,67,79,76,44,32,62,74,69,74,75,7,6,14,16,11,55000.0
40,182,79,Argentina,75,75,53,81,77,69,77,67,63,63,46,75,49,53,38,81,67,21,25,11,16,15,9,14,13000.0
30,184,69,Norway,75,75,77,69,41,82,75,73,83,72,78,75,63,62,83,78,68,40,58,12,9,10,8,15,8000.0
35,180,75,France,75,75,12,11,13,33,11,13,13,12,37,25,50,41,44,75,45,14,15,75,72,76,73,77,13000.0
40,184,84,Mexico,75,75,17,12,13,33,12,13,14,10,33,20,40,38,61,70,60,13,11,72,77,68,78,73,23000.0
34,185,85,Netherlands,75,75,72,77,65,73,67,80,77,50,66,77,75,78,70,69,70,38,23,16,8,12,11,15,47000.0
35,183,80,Belgium,75,75,62,51,79,74,46,52,61,64,74,67,53,50,61,65,53,75,73,9,10,7,11,15,7000.0
37,178,71,Spain,75,75,75,67,53,80,56,73,81,83,81,77,49,39,47,72,63,74,72,14,14,9,13,10,16000.0
35,176,76,France,75,75,74,63,73,75,62,74,74,61,69,75,66,64,70,73,72,74,73,8,9,7,15,10,5000.0
36,185,75,Argentina,75,75,57,83,84,70,65,69,60,53,61,75,55,55,60,74,52,35,33,7,14,6,7,14,900.0
37,188,88,Netherlands,75,75,15,12,16,37,18,17,18,14,52,34,46,44,42,70,36,18,20,74,72,85,77,74,8000.0
35,184,81,Mexico,75,75,20,15,15,59,15,29,19,16,65,39,59,59,70,73,64,19,25,75,71,81,75,74,10000.0
35,175,70,Israel,75,75,73,74,53,75,73,80,82,83,71,77,72,62,83,72,80,60,53,10,8,9,16,9,18000.0
35,184,82,Argentina,75,75,35,26,76,63,28,49,33,48,59,61,32,33,53,74,55,76,78,11,7,11,7,11,12000.0
30,174,76,England,75,75,76,52,64,75,60,75,66,57,66,76,71,72,69,73,78,75,78,10,11,8,13,13,42000.0
34,188,78,Republic of Ireland,75,75,11,14,16,33,16,14,15,14,34,33,41,44,50,73,43,14,14,77,72,67,73,76,40000.0
36,176,71,Argentina,75,75,64,77,54,76,76,80,79,81,70,80,71,70,78,74,82,30,28,14,12,14,6,12,13000.0
32,181,72,Turkey,75,75,86,65,62,75,76,75,84,84,74,78,71,68,71,79,69,73,73,11,12,10,7,13,14000.0
33,178,66,Scotland,75,75,66,68,66,77,57,71,58,61,74,77,55,52,69,80,71,76,73,9,9,9,9,9,46000.0
36,179,74,Argentina,75,75,48,83,83,64,67,62,59,68,54,73,61,41,34,77,72,29,30,6,8,9,8,6,1000.0
33,201,93,England,75,75,19,13,13,27,19,20,10,19,19,33,26,35,44,70,42,13,12,75,71,64,74,79,34000.0
33,180,79,Argentina,75,75,73,70,64,76,72,78,74,72,75,76,68,73,91,75,78,68,67,14,14,7,16,11,18000.0
32,192,74,England,75,75,45,29,78,68,28,44,33,31,60,57,34,33,30,76,44,77,78,11,8,6,9,14,42000.0
32,185,79,Belgium,75,75,74,63,70,78,74,75,68,71,75,79,60,57,58,68,63,70,68,10,16,11,13,9,22000.0
32,186,77,Belgium,75,75,64,50,72,69,34,67,28,48,71,69,80,86,66,74,70,75,77,13,14,14,12,13,19000.0
36,180,76,Argentina,75,75,64,73,55,76,74,80,84,57,74,78,66,62,80,72,63,56,34,14,13,7,7,15,14000.0
34,183,88,France,75,75,45,28,77,68,26,44,48,66,61,57,37,47,33,70,65,74,70,15,10,16,8,7,10000.0
34,184,74,Sweden,75,75,56,77,74,72,70,72,66,47,51,73,70,71,70,75,71,33,25,10,7,12,8,14,7000.0
33,194,85,Belgium,75,75,60,74,92,78,68,66,64,46,67,80,34,37,40,81,83,76,72,8,6,9,15,16,19000.0
33,182,73,Switzerland,75,75,45,32,70,70,35,61,38,36,68,69,49,44,60,77,66,77,76,13,9,12,13,7,15000.0
31,186,79,France,75,75,64,53,69,79,54,68,69,62,71,74,54,49,64,73,67,75,72,6,11,12,14,7,26000.0
33,176,79,Suriname,75,75,76,64,42,76,65,80,85,75,75,78,72,71,76,72,79,24,23,15,7,7,12,15,1000.0
31,186,90,Italy,75,75,53,75,80,70,67,71,58,48,42,76,55,70,53,70,46,25,20,7,7,7,5,8,36000.0
34,173,65,Brazil,75,75,75,69,54,78,62,75,77,82,76,77,74,73,71,70,67,53,39,11,16,12,14,15,15000.0
34,176,70,Portugal,75,75,80,56,73,74,69,75,82,80,72,77,70,72,71,73,70,73,70,10,7,10,9,14,10000.0
38,193,87,Paraguay,75,75,52,80,85,62,81,65,67,74,58,70,50,50,45,73,30,28,20,12,7,6,14,11,1000.0
34,195,85,Argentina,75,75,44,41,85,64,35,44,40,37,60,75,33,36,31,70,35,78,73,8,9,12,11,14,39000.0
31,175,72,Brazil,75,75,68,74,69,75,70,74,81,70,53,78,75,78,81,72,69,23,19,16,7,13,15,8,10000.0
33,178,73,England,75,75,74,69,64,81,72,80,77,66,75,81,70,64,77,73,75,62,62,6,15,14,8,11,49000.0
32,182,74,Czech Republic,75,75,82,69,57,79,72,76,82,74,81,76,62,61,70,74,66,46,40,10,9,14,11,8,1000.0
31,185,88,Republic of Ireland,75,75,39,44,80,61,51,50,50,36,60,59,50,51,54,71,50,78,77,14,7,12,14,12,33000.0
31,187,83,France,75,75,58,23,73,74,20,50,50,30,69,60,43,51,51,67,54,75,72,14,12,9,7,8,22000.0
32,183,80,Serbia,75,75,50,49,71,73,53,65,43,57,70,67,50,53,55,71,58,76,72,14,12,13,11,14,32000.0
31,174,78,England,75,75,73,58,60,76,56,72,72,53,74,76,65,65,77,74,85,76,75,10,9,14,11,6,58000.0
32,188,82,Germany,75,75,58,81,79,64,83,62,57,45,49,70,53,53,55,82,57,29,21,11,7,15,13,7,28000.0
33,192,83,Germany,75,75,50,81,81,64,77,64,38,44,40,72,52,55,52,76,58,42,19,8,9,15,16,8,14000.0
34,158,56,Argentina,75,75,74,72,56,74,70,77,76,70,73,76,81,62,80,74,76,58,51,6,5,14,14,9,9000.0
30,190,83,Belgium,75,75,58,76,85,66,76,64,61,64,51,77,51,56,61,76,43,25,18,14,5,12,8,5,50000.0
32,173,70,France,75,75,71,75,53,72,75,77,78,76,68,78,82,85,85,76,81,55,34,11,12,9,16,9,16000.0
33,180,72,Portugal,75,75,66,48,63,74,48,60,49,58,71,73,65,69,68,72,70,77,75,12,12,10,15,16,13000.0
34,184,87,Ivory Coast,75,75,43,32,79,68,19,35,48,58,65,62,41,39,61,70,57,76,70,6,10,16,6,15,20000.0
31,176,75,Algeria,75,75,75,66,60,75,68,78,67,68,74,79,72,71,80,73,74,32,31,13,7,10,10,8,47000.0
32,180,78,Brazil,75,75,65,65,67,78,70,74,77,77,76,78,74,70,71,69,69,74,71,11,8,14,15,6,850.0
31,178,76,Scotland,75,75,76,73,68,67,62,79,72,58,66,75,77,77,78,74,76,56,38,12,16,8,12,7,10000.0
31,182,77,Italy,75,75,68,56,65,78,69,76,72,68,74,77,53,67,72,76,75,72,72,5,5,5,5,5,16000.0
32,183,73,Nigeria,75,75,66,78,71,70,76,75,64,55,55,74,65,68,65,73,72,45,41,9,11,13,16,8,34000.0
29,184,82,Norway,75,75,65,75,68,72,73,77,70,53,62,76,77,81,74,72,73,39,27,12,9,11,12,7,52000.0
33,187,79,Croatia,75,75,60,79,77,74,74,73,64,50,48,76,59,67,69,78,55,32,28,9,11,9,11,7,27000.0
31,173,75,Poland,75,75,75,66,49,75,65,72,77,76,65,70,78,76,76,75,79,73,68,14,6,13,16,12,38000.0
31,188,78,Netherlands,75,75,68,60,75,80,66,70,49,44,76,75,61,67,63,70,50,72,71,9,8,14,16,14,14000.0
32,165,64,Mexico,75,75,75,65,50,77,39,73,65,59,70,70,85,86,78,71,85,75,73,13,14,6,16,16,21000.0
32,192,87,Germany,75,75,14,12,8,35,13,13,12,15,30,22,41,40,36,75,39,18,14,76,69,62,75,79,41000.0
32,186,71,Spain,75,75,44,56,73,74,53,56,30,36,68,67,44,50,53,76,33,77,74,8,8,15,7,14,11000.0
31,186,84,England,75,75,66,76,79,72,76,69,62,56,65,77,59,55,66,76,66,46,39,6,10,11,10,10,35000.0
32,186,80,Czech Republic,75,75,69,48,75,70,46,63,62,50,69,68,59,62,60,71,61,75,75,8,13,14,15,8,1000.0
33,169,67,Argentina,75,75,73,69,69,74,75,75,71,45,65,75,82,84,83,74,85,46,41,12,6,14,12,9,18000.0
30,188,79,Kenya,75,75,59,61,72,74,60,73,62,57,74,73,45,54,55,71,63,74,70,6,14,10,13,16,8000.0
29,184,80,England,75,75,73,64,67,81,66,73,69,73,82,77,48,49,55,70,63,62,60,14,11,15,8,16,37000.0
29,170,72,Scotland,75,75,77,69,44,76,79,74,78,70,75,76,72,68,79,75,84,70,69,7,8,7,13,6,29000.0
29,182,72,Scotland,75,75,62,66,66,78,51,72,63,52,75,78,55,66,71,72,77,74,72,12,16,11,8,9,48000.0
34,187,75,Brazil,75,75,41,83,73,66,74,70,68,55,58,76,72,79,62,64,56,33,34,13,7,6,16,9,11000.0
32,194,92,Albania,75,75,11,13,12,20,11,12,13,12,26,20,28,28,33,73,30,10,11,74,74,66,74,76,28000.0
31,193,79,England,75,75,11,17,16,33,12,17,15,18,35,17,58,56,35,71,43,13,12,74,74,61,75,80,34000.0
31,193,86,Germany,75,75,47,20,80,62,45,58,40,42,59,59,42,34,43,74,46,78,77,16,8,7,8,16,28000.0
29,188,73,Scotland,75,75,45,26,74,72,33,53,31,26,64,62,49,51,55,72,61,77,76,10,12,10,9,15,60000.0
31,173,66,Brazil,75,75,66,70,64,72,69,78,65,65,59,77,83,81,87,73,85,27,20,6,7,6,5,14,32000.0
30,174,61,Spain,75,75,76,53,58,74,54,72,65,55,63,75,76,72,78,70,82,72,73,16,15,7,15,11,42000.0
30,187,84,Poland,75,76,19,11,10,29,17,18,12,19,26,23,51,51,48,68,38,12,12,78,72,54,74,81,22000.0
29,182,74,Switzerland,75,75,77,72,68,71,57,73,75,66,72,74,74,75,72,74,67,72,68,15,15,7,14,9,1000.0
32,196,92,Turkey,75,75,15,15,14,27,16,15,16,16,28,25,55,57,53,65,50,13,12,73,72,76,78,79,28000.0
33,177,77,Spain,75,75,78,35,71,73,50,68,76,33,69,72,74,75,74,68,73,75,73,15,10,7,6,11,22000.0
30,188,84,Belgium,75,75,47,49,75,65,52,59,34,27,57,66,59,74,52,73,51,76,77,14,11,6,14,16,42000.0
30,175,67,England,75,75,76,54,68,75,45,75,64,39,66,76,71,67,74,73,72,75,76,10,11,13,15,7,42000.0
29,182,80,Serbia,75,75,80,67,48,77,74,77,80,85,76,79,74,72,80,68,78,46,35,6,14,7,6,12,40000.0
30,172,65,Mexico,75,75,68,75,65,74,71,79,73,72,70,75,77,75,84,71,88,41,33,6,10,7,10,12,6000.0
31,194,80,Georgia,75,75,10,17,16,20,13,25,15,17,23,28,43,45,46,72,58,15,13,78,73,62,73,74,9000.0
30,189,88,Netherlands,75,75,17,12,19,37,19,15,13,20,37,34,55,45,54,70,42,18,16,74,74,75,75,77,13000.0
30,179,77,Iceland,75,75,76,70,64,77,72,75,79,77,75,76,69,65,68,75,75,63,55,7,6,14,10,8,32000.0
30,180,79,Ivory Coast,75,75,69,73,54,66,61,78,50,47,57,74,88,86,76,67,60,13,11,7,16,12,11,7,24000.0
31,179,74,Ecuador,75,75,66,76,67,70,72,75,60,62,58,76,84,92,80,69,62,25,30,7,12,6,16,15,23000.0
30,184,83,Russia,75,75,66,73,74,75,71,79,74,69,66,77,77,79,83,76,71,42,44,7,16,14,8,8,48000.0
32,188,87,Sweden,75,75,11,13,13,41,11,14,20,11,26,24,52,49,58,75,46,13,15,74,71,69,75,76,7000.0
31,184,75,Brazil,75,75,56,76,78,64,70,75,74,63,54,72,79,80,78,68,76,31,26,12,15,13,13,7,7000.0
32,172,67,Brazil,75,75,73,43,54,73,51,76,70,67,72,73,83,77,76,69,90,73,71,16,12,15,14,16,30000.0
33,189,80,Cameroon,75,75,78,52,74,75,44,74,71,30,73,73,77,81,49,71,40,76,74,12,8,9,9,14,25000.0
34,178,76,France,75,75,76,76,67,77,76,78,76,70,70,80,68,67,75,76,73,41,41,14,11,14,7,13,31000.0
31,183,82,Poland,75,75,68,73,49,77,60,73,73,66,74,75,67,66,67,73,73,66,50,11,16,12,11,14,63000.0
34,187,79,Brazil,75,75,19,12,13,38,11,14,13,16,12,17,38,49,48,70,50,11,13,71,72,70,75,81,8000.0
30,180,82,Denmark,75,75,75,59,60,76,60,72,61,48,71,78,80,78,71,79,72,74,72,7,8,12,7,9,17000.0
33,187,89,Spain,75,75,14,13,14,16,15,19,15,12,29,12,47,38,45,72,54,16,12,76,75,80,73,72,15000.0
29,185,79,Netherlands,75,75,67,62,70,80,74,76,76,73,75,80,60,49,69,76,67,65,60,16,8,16,9,6,18000.0
30,194,86,Sweden,75,75,29,29,71,68,41,62,49,40,62,67,56,62,53,74,29,76,73,9,5,14,6,7,38000.0
30,175,73,Spain,75,75,78,50,61,72,66,70,77,55,69,73,75,73,75,72,75,72,71,6,15,16,8,8,20000.0
30,191,102,United States,75,75,15,12,11,35,14,11,15,12,26,22,40,41,34,68,46,18,12,76,71,69,77,75,7000.0
28,176,71,Austria,75,75,75,75,55,72,55,77,69,71,70,76,80,66,86,70,82,35,25,11,7,10,15,13,27000.0
30,186,84,Scotland,75,75,76,71,58,80,70,76,76,73,77,79,66,60,77,74,75,63,51,14,12,7,6,7,49000.0
36,170,67,Chile,75,75,76,59,63,72,57,79,65,59,68,78,88,86,84,76,83,66,65,6,14,12,14,12,11000.0
28,174,72,Italy,75,75,78,69,42,76,74,80,84,81,69,80,80,80,81,73,89,48,54,12,10,7,15,9,42000.0
29,182,81,Ghana,75,75,71,74,75,73,73,79,75,69,60,77,74,78,79,75,74,52,36,6,8,7,16,8,52000.0
28,172,69,Spain,75,75,73,77,72,74,71,76,62,57,59,77,74,73,78,79,76,28,25,11,6,9,12,9,23000.0
29,198,87,England,75,75,67,25,78,69,22,59,48,46,66,64,40,55,33,72,30,77,73,15,13,7,8,10,46000.0
30,174,68,Spain,75,75,71,66,40,71,61,83,80,69,64,78,78,76,84,67,83,30,14,9,9,14,15,15,13000.0
33,178,71,Spain,75,75,70,78,56,76,46,72,72,78,72,76,79,89,66,72,69,69,64,15,15,9,8,7,24000.0
28,175,65,Morocco,75,75,77,71,52,73,74,77,85,83,68,82,74,71,75,71,80,36,28,10,10,14,15,11,16000.0
38,186,80,Uruguay,75,75,9,13,9,38,13,11,13,12,33,17,30,32,34,62,39,18,13,78,73,72,73,81,600.0
29,181,75,Italy,75,75,70,79,66,72,72,77,78,77,64,79,68,66,74,74,56,24,20,12,11,11,5,5,21000.0
29,167,73,Senegal,75,75,61,49,65,77,41,71,69,54,72,78,71,64,75,73,87,75,74,14,12,9,12,15,70000.0
29,187,81,Scotland,75,75,29,30,72,60,32,43,33,35,48,58,52,52,48,71,51,75,77,9,9,11,12,8,31000.0
29,183,74,Spain,75,75,54,60,57,73,59,64,59,52,74,72,60,62,69,71,55,73,69,12,13,16,16,8,11000.0
28,182,72,Spain,75,75,77,69,58,82,45,68,81,76,78,80,64,52,80,72,72,72,66,16,14,12,16,6,28000.0
31,187,77,Spain,75,75,22,16,20,36,18,15,16,11,35,21,48,52,68,75,46,15,16,76,74,67,70,79,8000.0
31,174,70,Portugal,75,75,71,69,64,79,64,76,77,67,75,78,67,66,73,72,74,72,68,9,11,15,9,7,11000.0
31,175,68,Denmark,75,75,66,72,62,76,66,77,69,66,75,75,76,74,85,76,84,65,71,16,6,8,6,9,9000.0
34,178,76,Spain,75,75,76,40,73,71,48,63,82,83,75,74,48,62,58,74,66,78,74,14,8,15,13,9,11000.0
29,185,75,Equatorial Guinea,75,75,68,50,70,76,60,74,56,62,72,74,60,57,63,69,63,78,77,9,7,7,6,7,28000.0
27,175,76,Netherlands,75,75,72,65,50,80,74,75,79,76,77,80,69,67,77,74,81,68,65,15,7,7,11,8,16000.0
29,185,72,Germany,75,75,69,75,67,72,74,76,80,76,70,77,76,71,74,77,68,39,36,9,11,8,9,11,27000.0
29,187,91,France,75,76,57,31,77,73,35,47,31,36,56,61,52,60,53,66,65,75,73,6,10,8,16,14,28000.0
30,186,72,Spain,75,75,50,37,78,70,23,39,52,38,43,68,54,41,49,71,45,76,72,12,6,10,10,7,12000.0
